statusId|sensorName|[value-x,value-y,value-z]|timestamp
218|K6DS3TR Gyroscope|[-0.0035430193,0.0013683364,-0.012351695]|1566265861806
218|K6DS3TR Accelerometer|[0.51235914,-0.30645782,10.150218]|1566265861808
218|Samsung Linear Acceleration Sensor|[0.018204391,-0.010882884,0.36048698]|1566265861809
218|K6DS3TR Gyroscope|[-0.023701575,0.012974773,4.7647484E-4]|1566265861817
218|K6DS3TR Accelerometer|[0.093373865,-0.51834464,9.738416]|1566265861819
218|Samsung Linear Acceleration Sensor|[-5.134344E-4,0.0028722286,-0.053923607]|1566265861819
218|K6DS3TR Gyroscope|[-0.005986482,0.0013683364,0.006585127]|1566265861826
218|K6DS3TR Accelerometer|[0.30885202,-0.272939,9.946711]|1566265861828
218|Samsung Linear Acceleration Sensor|[0.00460732,-0.0040772557,0.14846897]|1566265861828
218|K6DS3TR Gyroscope|[-0.0023212917,0.022748616,-0.004410447]|1566265861837
218|K6DS3TR Accelerometer|[0.10654198,-0.18555063,9.470264]|1566265861839
218|Samsung Linear Acceleration Sensor|[-0.0037665367,0.0065459013,-0.33388424]|1566265861839
218|K6DS3TR Gyroscope|[0.0068416875,0.002590064,-0.012962561]|1566265861846
218|K6DS3TR Accelerometer|[0.37110126,-0.34715924,9.700109]|1566265861848
218|Samsung Linear Acceleration Sensor|[-0.0035764277,0.0033409595,-0.09311199]|1566265861848
218|K6DS3TR Gyroscope|[-0.005986482,0.014196504,-0.006853908]|1566265861856
218|K6DS3TR Accelerometer|[0.25737667,-0.30765492,9.609129]|1566265861858
218|Samsung Linear Acceleration Sensor|[-0.0050603747,0.0060503483,-0.18898869]|1566265861859
218|K6DS3TR Gyroscope|[0.014172072,0.014196504,-0.020903809]|1566265861867
218|K6DS3TR Accelerometer|[0.22266077,-0.1592144,9.7240505]|1566265861869
218|Samsung Linear Acceleration Sensor|[-0.001801759,0.0012860149,-0.07871628]|1566265861869
218|K6DS3TR Gyroscope|[0.007452553,0.01480737,-0.023958134]|1566265861876
218|K6DS3TR Accelerometer|[0.25737667,-0.0023942017,9.830592]|1566265861878
218|Samsung Linear Acceleration Sensor|[7.1930885E-4,1.4633406E-5,0.027301788]|1566265861878
218|K6DS3TR Gyroscope|[-0.0010995604,1.4660507E-4,-0.020292943]|1566265861886
